Unnamed: 0,TIPREG,DATPRE,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
461,1,2009-01-02,2,PETR4,10,PETROBRAS,PN  EJ,,R$,23.27,24.57,23.2,24.09,24.54,24.52,24.54,18917,17814600,42951032900,0,0,9999-12-31 00:00:00,1,0,BRPETRACNPR6,165
707,1,2009-01-02,2,VALE3,10,VALE R DOCE,ON      N1,,R$,28.01,30.5,27.85,29.53,30.5,30.5,30.51,5574,3503200,10347927900,0,0,9999-12-31 00:00:00,1,0,BRVALEACNOR0,175
1348,1,2009-01-05,2,PETR4,10,PETROBRAS,PN  EJ,,R$,24.38,25.5,24.03,24.94,25.1,25.07,25.1,23552,26838300,66934395000,0,0,9999-12-31 00:00:00,1,0,BRPETRACNPR6,165
1635,1,2009-01-05,2,VALE3,10,VALE R DOCE,ON      N1,,R$,30.0,33.23,29.7,31.89,32.16,32.16,32.3,5922,4054000,12927984400,0,0,9999-12-31 00:00:00,1,0,BRVALEACNOR0,175
2307,1,2009-01-06,2,PETR4,10,PETROBRAS,PN  EJ,,R$,25.51,25.89,25.06,25.44,25.45,25.44,25.45,20096,24555900,62474584700,0,0,9999-12-31 00:00:00,1,0,BRPETRACNPR6,165
2592,1,2009-01-06,2,VALE3,10,VALE R DOCE,ON      N1,,R$,32.75,34.15,32.3,32.99,33.05,32.9,33.05,6080,3901100,12871408100,0,0,9999-12-31 00:00:00,1,0,BRVALEACNOR0,175
3288,1,2009-01-07,2,PETR4,10,PETROBRAS,PN  EJ,,R$,24.8,24.99,24.13,24.51,24.45,24.45,24.46,18206,20987100,51447910500,0,0,9999-12-31 00:00:00,1,0,BRPETRACNPR6,165
3599,1,2009-01-07,2,VALE3,10,VALE R DOCE,ON      N1,,R$,32.2,32.6,31.0,31.54,31.0,31.0,31.18,5458,2907500,9167550300,0,0,9999-12-31 00:00:00,1,0,BRVALEACNOR0,175
4242,1,2009-01-08,2,PETR4,10,PETROBRAS,PN  EJ,,R$,24.35,25.5,23.84,24.76,25.5,25.47,25.5,19096,24488200,60685658500,0,0,9999-12-31 00:00:00,1,0,BRPETRACNPR6,165
4505,1,2009-01-08,2,VALE3,10,VALE R DOCE,ON      N1,,R$,30.84,32.38,30.18,31.2,32.38,32.07,32.38,7043,3977600,12410708700,0,0,9999-12-31 00:00:00,1,0,BRVALEACNOR0,175
